,precision,recall,f1-score,support
Timestamp dependence,0.9995323169020671,0.9871593533487298,0.9933073061907417,10825.0
Outdated Solidity version,0.8745147096885515,0.8504131884726709,0.8622955700644394,23839.0
Frozen Ether,0.9841253893298503,0.9989801121876594,0.9914971150926206,19610.0
Delegatecall Injection,0.9864195784410807,0.9879569283083026,0.9871876548453317,7058.0
micro avg,0.9453392058900868,0.9378790843279202,0.941594368963824,61332.0
macro avg,0.9611479985903875,0.9561273955793408,0.9585719115482834,61332.0
weighted avg,0.9445043658143508,0.9378790843279202,0.9411016203473813,61332.0
samples avg,0.95727716116623,0.9403931266621526,0.9351095671288799,61332.0
accuracy,0.7993640886743015,0.7993640886743015,0.7993640886743015,61332.0
